energy,danceability,liveness,valence,acousticness,speechiness,track_name,artist_name,rating
0.7559999999999999,0.545,0.0824,0.858,0.0356,0.0301,Freebird II,Parquet Courts,3.73
0.8320000000000001,0.624,0.7240000000000001,0.495,0.0191,0.0449,Back to Earth,Parquet Courts,3.73
0.94,0.85,0.0697,0.897,0.113,0.036,Wide Awake,Parquet Courts,3.73
0.875,0.735,0.0748,0.929,0.286,0.106,NYC Observation,Parquet Courts,3.73
0.867,0.515,0.204,0.899,0.21,0.0363,Extinction,Parquet Courts,3.73
0.6809999999999999,0.5720000000000001,0.5820000000000001,0.445,0.3989999999999999,0.0449,Death Will Bring Change,Parquet Courts,3.73
0.736,0.716,0.0746,0.945,0.165,0.0363,Tenderness,Parquet Courts,3.73
85.0,58.0,9.0,58.0,11.0,3.0,Breaking the Habit,Linkin Park,3.13
86.0,50.0,64.0,24.0,0.0,4.0,Numb,Linkin Park,3.13
42.0,21.0,11.0,12.0,16.0,3.0,Fix You,Coldplay,3.06
56.0,41.0,16.0,16.0,1.0,3.0,Talk,Coldplay,3.06
90.0,52.0,7.0,36.0,0.0,6.0,Speed of Sound,Coldplay,3.06
54.0,81.0,16.0,85.0,18.0,4.0,Rock with You - Single Version,Michael Jackson,3.84
60.0,83.0,8.0,92.0,18.0,6.0,Off the Wall,Michael Jackson,3.84
86.0,50.0,8.0,42.0,1.0,7.0,Fight For Your Right,Beastie Boys,3.58
50.0,33.0,13.0,11.0,11.0,4.0,Autobahn - 2009 Remaster,Kraftwerk,3.72
40.0,39.0,8.0,59.0,89.0,3.0,The Times They Are A-Changin',Bob Dylan,3.78
58.0,50.0,32.0,65.0,41.0,3.0,Somebody to Love,Jefferson Airplane,3.8
29.0,55.0,9.0,32.0,49.0,3.0,White Rabbit,Jefferson Airplane,3.8
90.0,43.0,21.0,60.0,0.0,4.0,The Memory Remains,Metallica,2.42
88.0,49.0,27.0,25.0,0.0,4.0,The Unforgiven II,Metallica,2.42
53.0,39.0,16.0,33.0,25.0,4.0,One,U2,3.73
66.0,67.0,11.0,70.0,0.0,3.0,Mysterious Ways,U2,3.73
66.0,75.0,9.0,86.0,19.0,4.0,Lookin' Out My Back Door,Creedence Clearwater Revival,4.04
